นิติบุคคลจัดตั้งเดือนมีนาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
"1,722",0105559044121,บจ.เก็ทลิงส์ (ไทยแลนด์) จำกัด,14/3/2559," 1,000,000 ",62012,วิเคราะห์และออกแบบ พัฒนาโปรแกรมซอฟแวร์ เพื่อขายและ/หรือให้เช่า,999/9 อาคารเซ็นทรัลเวิลด์ ชั้นที่ 8 ห้องเลขที่ แอล แอล808 ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
"1,723",0105559045542,บจ.มงคลสุข (2558) จำกัด,16/3/2559," 1,000,000 ",46109,ประกอบกิจการเกี่ยวกับการนำเข้า ส่งออก สินค้าอุปโภคบริโภค,239/66 ถนนราชดำริห์  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
"1,724",0105559047910,บจ.คลินสัน(ประเทศไทย) จำกัด,21/3/2559," 1,000,000 ",58202,ประกอบกิจการออกแบบกราฟฟิกดีไซน์ ดิจิตอลดีไซน์ เว็บไซด์และแอพพลิเคชั่น,999/9 อาคารออฟฟิศ แอท เซ็นทรัลเวิลด์ ชั้นที่ 29 ถนนพระราม1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
"1,725",0105559048843,บจ.ฟอร์ ยัวร์ อิมเมจิเนชัน จำกัด,21/3/2559," 1,000,000 ",85499,การบริการให้คำปรึกษาด้านการศึกษาต่อ กิจกรรมให้คำปรึกษาด้านการบริหารจัดการอื่นๆ,292 ยูนิต509 ชั้น5 อาคารเซ็นเตอร์พอยท์ออฟสยามสแควร์ ถนนพระราม1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
"1,726",0105559049904,บจ.ราชาสุกี้โบราณ จำกัด,23/3/2559," 1,000,000 ",56101,ประกอบกิจการจัดอาหาร ประเภทสุกี่ยากี้ และอาหารประเภทอื่น,"59,59/1-2 อาคารโครงการสวนหลวงสแควร์ ซอยสวนหลวง 1  แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330"
"1,727",0105559051976,บจ.เอส แคนดิด ลอว์ จำกัด,25/3/2559," 1,000,000 ",69100,กิจกรรมทางกฏหมาย,598 อาคารคิวเฮ้าส์ เพลินจิต ชั้น 6 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
"1,728",0105559052441,บจ.ควอลิตี้ ซีซั่น จำกัด,28/3/2559," 1,000,000 ",82302,บริการจัดกิจกรรม,24 อาคารยูเซ็นเตอร์ ห้องเลขที่ เค 07 ซอยจุฬา 4  แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330
"1,729",0105559052603,บจ.เวดา ซาลอนแอนด์สปา จำกัด,28/3/2559," 1,000,000 ",96103,ให้บริการจัดแต่งทรงผม ให้บริการสปา,989 อาคารสยามดิสคัฟเวอรี่ ห้องเลขที่ M08 ชั้น M ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
"1,730",0105559052913,บจ.ณัฐธพรรณ กรุ๊ป จำกัด,29/3/2559," 1,000,000 ",86201,คลินิกโรคทั่วไป,60/242 ซอยเกษมสันต์ 2  แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330
"1,731",0105559053464,บจ.สมาร์ท โพส เอ็กซ์เพรส จำกัด,29/3/2559," 1,000,000 ",53200,ประกอบกิจการรับส่งเอกสาร และสิ่งของ,475/41 ถนนรองเมือง  แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330
"1,732",0105559054428,บจ.ไทยเด็นโซ เอ็นจิเนียริ่ง จำกัด,30/3/2559," 1,000,000 ",27101,ประกอบกิจการโรงงาน ผลิต ประกอบ นำเข้าจำหน่าย รับซ่อมบำรุง เครื่องกำเนิดไฟฟ้า,207/2 ตรอกสี่แยกวัดดวงแข  แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330
"1,733",0105559054835,บจ.ไลฟ์อัลเทอเนทีฟส์ จำกัด,31/3/2559," 1,000,000 ",46441,ประกอบกิจการ นำเข้า ผลิตและจำหน่าย เครื่องมือแพทย์ อุปกรณ์ทางการแพทย์และอาหารเสริม,888/151 อาคารมหาทุนพลาซ่า ชั้นที่ 15 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
"1,734",0105559055483,บจ.พรเกษม เฮลท์แคร์ จำกัด,31/3/2559," 1,000,000 ",86101,ประกอบกิจการโรงพยาบาล สถานพยาบาล รับรักษาคนไข้และผู้เจ็บป่วย หรือผู้มีปัญหาทางสุขภาพ,"158,160,162,164 ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330"
"1,735",0103559005034,หจ.ซิง หลง 99,25/3/2559," 1,000,000 ",70209,รับเป็นที่ปรึกษาให้ความรู้ คำแนะนำ ด้านการขาย บริหารงาน เป็นนายหน้า ตัวแทน ค้าต่าง,2/5 ซอยอินทามระ 27 ถนนสุทธิสารวินิจฉัย  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
"1,736",0103559005069,หจ.บุญชูศรีเฮ้าส์ซิ่ง,28/3/2559," 1,000,000 ",68103,ประกอบกิจการให้เช่า ห้องพัก อาคาร เฟอร์นิเจอร์ โรงแรม,161/1 ซอยบุญชูศรี ถนนดินแดง  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
"1,737",0105559035601,บจ.บุญเฮ้าส์ อินเตอร์เนชั่นแนล จำกัด,1/3/2559," 1,000,000 ",46443,ประกอบธุรกิจ จำหน่ายผลิตภัณฑ์เพื่อความงามได้แก่ เครื่องสำอาง ผลิตภัณฑ์บำรุงผิว และอื่นๆ,61 ซอยถนอมจิตร ถนนสุทธิสาร  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
